date,validityFrom,validityTo,value
2013-01-01,2013-01-01T00:00:00-05:00,2013-01-02T00:00:00-05:00,1768.23
2013-01-02,2013-01-01T00:00:00-05:00,2013-01-02T00:00:00-05:00,1768.23
2013-01-03,2013-01-03T00:00:00-05:00,2013-01-03T00:00:00-05:00,1759.97
2013-01-04,2013-01-04T00:00:00-05:00,2013-01-04T00:00:00-05:00,1760.83
2013-01-05,2013-01-05T00:00:00-05:00,2013-01-08T00:00:00-05:00,1767.54
2013-01-06,2013-01-05T00:00:00-05:00,2013-01-08T00:00:00-05:00,1767.54
2013-01-07,2013-01-05T00:00:00-05:00,2013-01-08T00:00:00-05:00,1767.54
2013-01-08,2013-01-05T00:00:00-05:00,2013-01-08T00:00:00-05:00,1767.54
2013-01-09,2013-01-09T00:00:00-05:00,2013-01-09T00:00:00-05:00,1771.31
2013-01-10,2013-01-10T00:00:00-05:00,2013-01-10T00:00:00-05:00,1767.96
2013-01-11,2013-01-11T00:00:00-05:00,2013-01-11T00:00:00-05:00,1761.5
2013-01-12,2013-01-12T00:00:00-05:00,2013-01-14T00:00:00-05:00,1762.38
2013-01-13,2013-01-12T00:00:00-05:00,2013-01-14T00:00:00-05:00,1762.38
2013-01-14,2013-01-12T00:00:00-05:00,2013-01-14T00:00:00-05:00,1762.38
2013-01-15,2013-01-15T00:00:00-05:00,2013-01-15T00:00:00-05:00,1758.45
2013-01-16,2013-01-16T00:00:00-05:00,2013-01-16T00:00:00-05:00,1769.88
2013-01-17,2013-01-17T00:00:00-05:00,2013-01-17T00:00:00-05:00,1775.15
2013-01-18,2013-01-18T00:00:00-05:00,2013-01-18T00:00:00-05:00,1767.78
2013-01-19,2013-01-19T00:00:00-05:00,2013-01-22T00:00:00-05:00,1767.74
2013-01-20,2013-01-19T00:00:00-05:00,2013-01-22T00:00:00-05:00,1767.74
2013-01-21,2013-01-19T00:00:00-05:00,2013-01-22T00:00:00-05:00,1767.74
2013-01-22,2013-01-19T00:00:00-05:00,2013-01-22T00:00:00-05:00,1767.74
2013-01-23,2013-01-23T00:00:00-05:00,2013-01-23T00:00:00-05:00,1776.96
2013-01-24,2013-01-24T00:00:00-05:00,2013-01-24T00:00:00-05:00,1778.69
2013-01-25,2013-01-25T00:00:00-05:00,2013-01-25T00:00:00-05:00,1779.73
2013-01-26,2013-01-26T00:00:00-05:00,2013-01-28T00:00:00-05:00,1779.25
2013-01-27,2013-01-26T00:00:00-05:00,2013-01-28T00:00:00-05:00,1779.25
2013-01-28,2013-01-26T00:00:00-05:00,2013-01-28T00:00:00-05:00,1779.25
2013-01-29,2013-01-29T00:00:00-05:00,2013-01-29T00:00:00-05:00,1779.84
2013-01-30,2013-01-30T00:00:00-05:00,2013-01-30T00:00:00-05:00,1776.09
2013-01-31,2013-01-31T00:00:00-05:00,2013-01-31T00:00:00-05:00,1773.24
2013-02-01,2013-02-01T00:00:00-05:00,2013-02-01T00:00:00-05:00,1775.65
2013-02-02,2013-02-02T00:00:00-05:00,2013-02-04T00:00:00-05:00,1776.2
2013-02-03,2013-02-02T00:00:00-05:00,2013-02-04T00:00:00-05:00,1776.2
2013-02-04,2013-02-02T00:00:00-05:00,2013-02-04T00:00:00-05:00,1776.2
2013-02-05,2013-02-05T00:00:00-05:00,2013-02-05T00:00:00-05:00,1785.92
2013-02-06,2013-02-06T00:00:00-05:00,2013-02-06T00:00:00-05:00,1789.09
